id,type,facility,x,y,group,earliest_start,latest_start,max_duration,min_duration
6682803,education,375697,2569734,1192310,1,84,276,120,2
6681635,education,450352,2571430,1186971,1,84,276,120,2
7026958,education,377155,2577784,1183910,1,84,276,120,2
6682812,education,375697,2569734,1192310,1,84,276,120,2
6682632,education,376646,2575936,1196944,1,84,276,120,2
6682541,education,380332,2576304,1185284,1,84,276,120,2
6682926,education,381921,2567684,1190696,1,84,276,120,2
6682045,education,382576,2570980,1191815,1,84,276,120,2
6681969,education,382537,2569734,1192310,1,84,276,120,2
6682172,education,375697,2569734,1192310,1,84,276,120,2
6458928,education,380332,2576304,1185284,1,84,276,120,2
6681735,education,377255,2561744,1185833,1,84,276,120,2
6326352,education,380301,2577812,1186419,1,84,276,120,2
7107377,education,375697,2569734,1192310,1,84,276,120,2
6681724,education,375697,2569734,1192310,1,84,276,120,2
6682310,education,376648,2579444,1193487,1,84,276,120,2
7030310,education,375697,2569734,1192310,1,84,276,120,2
7074629,education,377255,2561744,1185833,1,84,276,120,2
6682107,education,375697,2569734,1192310,1,84,276,120,2
6945052,education,377255,2561744,1185833,1,84,276,120,2
7102965,education,381921,2567684,1190696,1,84,276,120,2
6923719,education,370107,2575916,1191020,1,84,276,120,2
6961832,education,376646,2575936,1196944,1,84,276,120,2
6326562,education,380332,2576304,1185284,1,84,276,120,2
6682237,education,375697,2569734,1192310,1,84,276,120,2
6682520,education,375697,2569734,1192310,1,84,276,120,2
6682973,education,376646,2575936,1196944,1,84,276,120,2
6682196,education,375697,2569734,1192310,1,84,276,120,2
6682775,education,375697,2569734,1192310,1,84,276,120,2
6326485,education,379243,2577788,1186390,1,84,276,120,2
6458733,education,380301,2577812,1186419,1,84,276,120,2
6682235,education,376648,2579444,1193487,1,84,276,120,2
6681632,education,377155,2577784,1183910,1,84,276,120,2
6682520,education,375697,2569734,1192310,1,84,276,120,2
7020202,education,375697,2569734,1192310,1,84,276,120,2
6962865,education,380332,2576304,1185284,1,84,276,120,2
7058042,education,370107,2575916,1191020,1,84,276,120,2
6681670,education,375697,2569734,1192310,1,84,276,120,2
7022276,education,382576,2570980,1191815,1,84,276,120,2
6682063,education,375697,2569734,1192310,1,84,276,120,2
6682269,education,376646,2575936,1196944,1,84,276,120,2
6682244,education,377155,2577784,1183910,1,84,276,120,2
6981972,education,370107,2575916,1191020,1,84,276,120,2
6953096,education,381921,2567684,1190696,1,84,276,120,2
6959507,education,375697,2569734,1192310,1,84,276,120,2
7022276,education,382576,2570980,1191815,1,84,276,120,2
6681783,education,377153,2567840,1190762,1,84,276,120,2
6682360,education,375697,2569734,1192310,1,84,276,120,2
6682803,education,375697,2569734,1192310,1,84,276,120,2
6948689,education,379241,2577788,1186390,1,84,276,120,2
7030807,education,379241,2577788,1186390,1,84,276,120,2
6682728,education,375697,2569734,1192310,1,84,276,120,2
7123994,education,381921,2567684,1190696,1,84,276,120,2
6682227,education,375697,2569734,1192310,1,84,276,120,2
6621278,education,370107,2575916,1191020,1,84,276,120,2
7041835,education,377255,2561744,1185833,1,84,276,120,2
7064423,education,377155,2577784,1183910,1,84,276,120,2
6946268,education,380332,2576304,1185284,1,84,276,120,2
6964371,education,377255,2561744,1185833,1,84,276,120,2
6682035,education,377159,2577930,1184036,1,84,276,120,2
6925591,education,376648,2579444,1193487,1,84,276,120,2
6682773,education,370107,2575916,1191020,1,84,276,120,2
7123994,education,381921,2567684,1190696,1,84,276,120,2
7034711,education,375697,2569734,1192310,1,84,276,120,2
7055206,education,380835,2577788,1186390,1,84,276,120,2
6984506,education,375697,2569734,1192310,1,84,276,120,2
6989414,education,382576,2570980,1191815,1,84,276,120,2
6682433,education,375697,2569734,1192310,1,84,276,120,2
6960025,education,450352,2571430,1186971,1,84,276,120,2
7027609,education,375697,2569734,1192310,1,84,276,120,2
6681607,education,377155,2577784,1183910,1,84,276,120,2
6682326,education,379776,2572034,1192548,1,84,276,120,2
7026957,education,377159,2577930,1184036,1,84,276,120,2
7043044,education,375697,2569734,1192310,1,84,276,120,2
7059711,education,375697,2569734,1192310,1,84,276,120,2
6682326,education,379776,2572034,1192548,1,84,276,120,2
6682719,education,377255,2561744,1185833,1,84,276,120,2
7093030,education,380332,2576304,1185284,1,84,276,120,2
7047683,education,375697,2569734,1192310,1,84,276,120,2
6682926,education,381921,2567684,1190696,1,84,276,120,2
6681577,education,381921,2567684,1190696,1,84,276,120,2
6681727,education,375697,2569734,1192310,1,84,276,120,2
6682944,education,376646,2575936,1196944,1,84,276,120,2
6682799,education,375697,2569734,1192310,1,84,276,120,2
6987644,education,313980,2562008,1184975,1,84,276,120,2
6682441,education,375697,2569734,1192310,1,84,276,120,2
6946265,education,382537,2569734,1192310,1,84,276,120,2
6934005,education,377153,2567840,1190762,1,84,276,120,2
6934157,education,376646,2575936,1196944,1,84,276,120,2
6682084,education,381922,2567712,1190524,1,84,276,120,2
7090607,education,380332,2576304,1185284,1,84,276,120,2
7062209,education,377155,2577784,1183910,1,84,276,120,2
