id,type,facility,x,y,group,earliest_start,latest_start,max_duration,min_duration
6728659,education,105652,2539714,1153331,1,84,276,120,2
6721806,education,378320,2537434,1153205,1,84,276,120,2
7089407,education,382538,2537022,1152473,1,84,276,120,2
6736602,education,447980,2536540,1153274,1,84,276,120,2
6747247,education,381501,2540188,1154125,1,84,276,120,2
6342233,education,118533,2538342,1152340,1,84,276,120,2
6597240,education,382539,2538698,1152910,1,84,276,120,2
7086271,education,447980,2536540,1153274,1,84,276,120,2
6344055,education,118533,2538342,1152340,1,84,276,120,2
7022381,education,381504,2536512,1152284,1,84,276,120,2
6730276,education,364536,2537996,1152575,1,84,276,120,2
6730151,education,381494,2537944,1153342,1,84,276,120,2
6620215,education,377274,2538078,1151306,1,84,276,120,2
6931310,education,382538,2537022,1152473,1,84,276,120,2
7051051,education,136097,2538522,1151315,1,84,276,120,2
7019688,education,94195,2536624,1154450,1,84,276,120,2
7084869,education,211083,2539212,1153303,1,84,276,120,2
7017305,education,186364,2537226,1154212,1,84,276,120,2
7057635,education,382540,2534430,1152695,1,84,276,120,2
6501296,education,27718,2538186,1152254,1,84,276,120,2
6741075,education,383051,2536866,1152830,1,84,276,120,2
7086595,education,216538,2536040,1153178,1,84,276,120,2
6728690,education,380987,2539682,1152573,1,84,276,120,2
6986944,education,381504,2536512,1152284,1,84,276,120,2
6492041,education,382539,2538698,1152910,1,84,276,120,2
6356699,education,192738,2538268,1152603,1,84,276,120,2
6985464,education,386202,2536872,1153141,1,84,276,120,2
6738763,education,380404,2537290,1151607,1,84,276,120,2
7124314,education,287023,2537222,1154037,1,84,276,120,2
6733617,education,383054,2537240,1152746,1,84,276,120,2
7080133,education,377274,2538078,1151306,1,84,276,120,2
6720011,education,309786,2538246,1153056,1,84,276,120,2
6736373,education,192738,2538268,1152603,1,84,276,120,2
7036073,education,381511,2539726,1151671,1,84,276,120,2
6732161,education,377275,2538936,1152574,1,84,276,120,2
6967583,education,27610,2538796,1151086,1,84,276,120,2
7042803,education,386204,2539136,1153497,1,84,276,120,2
7008468,education,381515,2537532,1154428,1,84,276,120,2
6434907,education,371201,2537632,1152837,1,84,276,120,2
6620610,education,377775,2537140,1152423,1,84,276,120,2
6656521,education,380990,2539276,1154726,1,84,276,120,2
6735779,education,379378,2540698,1152678,1,84,276,120,2
6630410,education,136885,2538574,1152306,1,84,276,120,2
6717893,education,14540,2539850,1153150,1,84,276,120,2
6959740,education,386206,2538040,1154345,1,84,276,120,2
6738367,education,192738,2538268,1152603,1,84,276,120,2
6491864,education,382539,2538698,1152910,1,84,276,120,2
6944240,education,376210,2540310,1154601,1,84,276,120,2
7013434,education,192738,2538268,1152603,1,84,276,120,2
6740770,education,376224,2539090,1152843,1,84,276,120,2
6630213,education,27715,2537646,1152565,1,84,276,120,2
7101241,education,376208,2538364,1152844,1,84,276,120,2
6729021,education,246993,2537792,1153196,1,84,276,120,2
6750067,education,118533,2538342,1152340,1,84,276,120,2
6732639,education,381499,2537452,1151970,1,84,276,120,2
6721603,education,377273,2539276,1154726,1,84,276,120,2
7041878,education,380991,2537432,1151613,1,84,276,120,2
6962784,education,381505,2538400,1151510,1,84,276,120,2
6741180,education,382538,2537022,1152473,1,84,276,120,2
6716558,education,287023,2537222,1154037,1,84,276,120,2
7091523,education,382539,2538698,1152910,1,84,276,120,2
6619787,education,136885,2538574,1152306,1,84,276,120,2
6734449,education,381510,2535856,1152632,1,84,276,120,2
6745027,education,366111,2537822,1151781,1,84,276,120,2
6644461,education,14540,2539850,1153150,1,84,276,120,2
6749361,education,377254,2536228,1154259,1,84,276,120,2
6339858,education,380404,2537290,1151607,1,84,276,120,2
6731491,education,136097,2538522,1151315,1,84,276,120,2
6628411,education,27718,2538186,1152254,1,84,276,120,2
7028839,education,14540,2539850,1153150,1,84,276,120,2
7040525,education,27714,2538186,1152254,1,84,276,120,2
7038862,education,381518,2537468,1153271,1,84,276,120,2
7112983,education,94371,2538122,1151600,1,84,276,120,2
6751009,education,287023,2537222,1154037,1,84,276,120,2
6915749,education,377275,2538936,1152574,1,84,276,120,2
6715543,education,136750,2537914,1152827,1,84,276,120,2
7013930,education,380990,2539276,1154726,1,84,276,120,2
6742621,education,37865,2538072,1153118,1,84,276,120,2
6981336,education,136097,2538522,1151315,1,84,276,120,2
7130375,education,216538,2536040,1153178,1,84,276,120,2
6716929,education,384620,2537202,1154857,1,84,276,120,2
6741016,education,380994,2538138,1154267,1,84,276,120,2
6717824,education,378320,2537434,1153205,1,84,276,120,2
6717659,education,386205,2537432,1151613,1,84,276,120,2
6731858,education,440595,2539660,1154552,1,84,276,120,2
7086409,education,376224,2539090,1152843,1,84,276,120,2
6746375,education,383051,2536866,1152830,1,84,276,120,2
6740295,education,378320,2537434,1153205,1,84,276,120,2
7057291,education,384621,2540230,1152570,1,84,276,120,2
6989848,education,94371,2538122,1151600,1,84,276,120,2
6713967,education,377775,2537140,1152423,1,84,276,120,2
6965332,education,381509,2538830,1152482,1,84,276,120,2
6737031,education,381509,2538830,1152482,1,84,276,120,2
6723684,education,450177,2536762,1153637,1,84,276,120,2
7057584,education,14540,2539850,1153150,1,84,276,120,2
6714345,education,377273,2539276,1154726,1,84,276,120,2
7035048,education,382538,2537022,1152473,1,84,276,120,2
6603279,education,377276,2537240,1153624,1,84,276,120,2
7019722,education,382517,2540034,1151891,1,84,276,120,2
6489016,education,376779,2537352,1152668,1,84,276,120,2
6721913,education,205205,2539268,1151837,1,84,276,120,2
6745566,education,381499,2537452,1151970,1,84,276,120,2
6655619,education,381504,2536512,1152284,1,84,276,120,2
6998668,education,309786,2538246,1153056,1,84,276,120,2
7094690,education,129865,2538580,1155020,1,84,276,120,2
