id,group,facility,start,duration,end_time,x,y,utility,DSSR_iterations,execution_time,cum_utility
6326436,home,home2781045,00:00:00,00:05:00,00:05:00,2569878,1192610,-30.568,8,0.077,0.0
6326436,home,home2781045,00:05:00,09:45:00,09:50:00,2569878,1192610,-30.568,8,0.077,0.0
6326436,education,377679,09:55:00,01:05:00,11:00:00,2577388,1184855,-30.568,8,0.077,-18.6
6326436,home,home2781045,11:05:00,00:20:00,11:25:00,2569878,1192610,-30.568,8,0.077,-18.5
6326436,leisure,377155,11:30:00,00:15:00,11:45:00,2577784,1183910,-30.568,8,0.077,-20.168
6326436,home,home2781045,11:50:00,03:10:00,15:00:00,2569878,1192610,-30.568,8,0.077,-20.068
6326436,shop,381921,15:00:00,00:15:00,15:15:00,2567684,1190696,-30.568,8,0.077,-30.568
6326436,home,home2781045,15:15:00,01:45:00,17:00:00,2569878,1192610,-30.568,8,0.077,-30.568
6326436,home,home2781045,17:00:00,07:00:00,23:59:00,2569878,1192610,-30.568,8,0.077,-30.568
6326440,home,home2781049,00:00:00,00:05:00,00:05:00,2570010,1192712,-17.248,12,0.078,0.0
6326440,home,home2781049,00:05:00,13:00:00,13:05:00,2570010,1192712,-17.248,12,0.078,0.0
6326440,shop,380332,13:05:00,00:15:00,13:20:00,2576304,1185284,-17.248,12,0.078,-10.5
6326440,home,home2781049,13:20:00,03:30:00,16:50:00,2570010,1192712,-17.248,12,0.078,-10.5
6326440,leisure,377159,16:50:00,00:10:00,17:00:00,2577930,1184036,-17.248,12,0.078,-17.248
6326440,home,home2781049,17:00:00,07:00:00,23:59:00,2570010,1192712,-17.248,12,0.078,-17.248
6326443,home,home2781052,00:00:00,00:05:00,00:05:00,2569618,1192165,-32.362,2,0.018,0.0
6326443,home,home2781052,00:05:00,08:55:00,09:00:00,2569618,1192165,-32.362,2,0.018,0.0
6326443,shop,377155,09:00:00,00:15:00,09:15:00,2577784,1183910,-32.362,2,0.018,-10.5
6326443,home,home2781052,09:15:00,01:15:00,10:30:00,2569618,1192165,-32.362,2,0.018,-10.5
