id,type,facility,x,y,group,earliest_start,latest_start,max_duration,min_duration
7059328,education,370107,2575916,1191020,1,84,276,120,2
7088768,education,375697,2569734,1192310,1,84,276,120,2
6612337,education,376648,2579444,1193487,1,84,276,120,2
6682323,education,377255,2561744,1185833,1,84,276,120,2
6682016,education,313980,2562008,1184975,1,84,276,120,2
6682768,education,376646,2575936,1196944,1,84,276,120,2
6946268,education,380332,2576304,1185284,1,84,276,120,2
6946267,education,375697,2569734,1192310,1,84,276,120,2
6682314,education,382576,2570980,1191815,1,84,276,120,2
6961832,education,376646,2575936,1196944,1,84,276,120,2
6682973,education,376646,2575936,1196944,1,84,276,120,2
6954922,education,377255,2561744,1185833,1,84,276,120,2
6682934,education,381921,2567684,1190696,1,84,276,120,2
7090646,education,379776,2572034,1192548,1,84,276,120,2
7059711,education,375697,2569734,1192310,1,84,276,120,2
6682728,education,375697,2569734,1192310,1,84,276,120,2
6936153,education,375697,2569734,1192310,1,84,276,120,2
6681698,education,381921,2567684,1190696,1,84,276,120,2
6682492,education,380332,2576304,1185284,1,84,276,120,2
6681787,education,382431,2576304,1190422,1,84,276,120,2
7107377,education,375697,2569734,1192310,1,84,276,120,2
6681794,education,380835,2577788,1186390,1,84,276,120,2
6682084,education,381922,2567712,1190524,1,84,276,120,2
6681618,education,377155,2577784,1183910,1,84,276,120,2
6681722,education,375697,2569734,1192310,1,84,276,120,2
6682719,education,377255,2561744,1185833,1,84,276,120,2
7030310,education,375697,2569734,1192310,1,84,276,120,2
7002249,education,380332,2576304,1185284,1,84,276,120,2
7080372,education,375697,2569734,1192310,1,84,276,120,2
7026958,education,377155,2577784,1183910,1,84,276,120,2
6987645,education,376646,2575936,1196944,1,84,276,120,2
6682360,education,375697,2569734,1192310,1,84,276,120,2
6954922,education,377255,2561744,1185833,1,84,276,120,2
6682777,education,380332,2576304,1185284,1,84,276,120,2
6940248,education,450352,2571430,1186971,1,84,276,120,2
7057871,education,380332,2576304,1185284,1,84,276,120,2
6681747,education,381922,2567712,1190524,1,84,276,120,2
6681609,education,382576,2570980,1191815,1,84,276,120,2
7121304,education,377153,2567840,1190762,1,84,276,120,2
6682261,education,376646,2575936,1196944,1,84,276,120,2
6681967,education,380332,2576304,1185284,1,84,276,120,2
7102963,education,382537,2569734,1192310,1,84,276,120,2
6682973,education,376646,2575936,1196944,1,84,276,120,2
6682898,education,375697,2569734,1192310,1,84,276,120,2
7105784,education,381921,2567684,1190696,1,84,276,120,2
6326562,education,380332,2576304,1185284,1,84,276,120,2
6933424,education,375697,2569734,1192310,1,84,276,120,2
6459286,education,380332,2576304,1185284,1,84,276,120,2
6681911,education,376646,2575936,1196944,1,84,276,120,2
6682388,education,376646,2575936,1196944,1,84,276,120,2
6681880,education,375697,2569734,1192310,1,84,276,120,2
7007681,education,375697,2569734,1192310,1,84,276,120,2
7030310,education,375697,2569734,1192310,1,84,276,120,2
6946265,education,382537,2569734,1192310,1,84,276,120,2
7087263,education,381922,2567712,1190524,1,84,276,120,2
6431926,education,377159,2577930,1184036,1,84,276,120,2
6458733,education,380301,2577812,1186419,1,84,276,120,2
6682744,education,382537,2569734,1192310,1,84,276,120,2
6682418,education,379776,2572034,1192548,1,84,276,120,2
6936113,education,375697,2569734,1192310,1,84,276,120,2
6682949,education,379243,2577788,1186390,1,84,276,120,2
